epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
40,17965.8,0.71988,0.65339,0.95976,0.88234,0.71654,0.81459,0.63423,0.82748,0.68707,1.00764,4.37376e-05,4.37376e-05,4.37376e-05
41,18322.9,0.49194,0.43333,0.69617,0.90173,0.70583,0.81224,0.63569,0.82039,0.69932,0.99879,3.9936e-05,3.9936e-05,3.9936e-05
42,18885.1,0.48441,0.38641,0.69837,0.88769,0.72323,0.81549,0.63485,0.82733,0.70883,1.00379,3.61344e-05,3.61344e-05,3.61344e-05
43,19227.5,0.4713,0.38192,0.68346,0.87486,0.72524,0.81702,0.6362,0.81978,0.6833,0.99655,3.23328e-05,3.23328e-05,3.23328e-05
44,19735.7,0.46252,0.34772,0.67776,0.89692,0.71363,0.81697,0.6405,0.80769,0.68959,0.98716,2.85312e-05,2.85312e-05,2.85312e-05
45,20173.1,0.46563,0.35437,0.68627,0.90188,0.70455,0.81875,0.64477,0.82048,0.70392,1.00205,2.47296e-05,2.47296e-05,2.47296e-05
46,20864,0.45521,0.36236,0.6708,0.89436,0.71579,0.82172,0.64743,0.80871,0.67784,0.99736,2.0928e-05,2.0928e-05,2.0928e-05
47,23589.7,0.42646,0.32111,0.66228,0.89474,0.72335,0.82683,0.65479,0.78867,0.66232,0.99001,1.71264e-05,1.71264e-05,1.71264e-05
48,24305.9,0.45207,0.31883,0.69184,0.8891,0.72489,0.82689,0.65359,0.79885,0.67539,0.98885,1.33248e-05,1.33248e-05,1.33248e-05
49,24636.1,0.43104,0.32299,0.66835,0.88815,0.72928,0.82942,0.65765,0.7911,0.6763,0.9848,9.5232e-06,9.5232e-06,9.5232e-06
50,25220.2,0.42427,0.30891,0.6545,0.87797,0.73522,0.82838,0.65506,0.79414,0.67217,0.98568,5.7216e-06,5.7216e-06,5.7216e-06
